"Wissenschaftsbereich";"Fachgebiet";"Fachkollegium";"Fach/Disziplin";"Dachverband";"Fachgesellschaft";"Anzahl Mitgliederanzahl Wissenschaftler";"Wikipedialink";"Website";"Kontakt"
"Geistes- und Sozialwissenschaften";"Geisteswissenschaften";"1.11 Alte Kulturen";"1.11-04 Klassische, Provinzialrömische, Christliche und Islamische Archäologie (u.a.)";"";"Deutscher Archäologen-Verband e.V. (DArV)";"über 1.100 Mitglieder (Wikipedia, 2023)";"https://de.wikipedia.org/wiki/Deutscher_Archäologen-Verband";"https://www.darv.de";"E-Mail: darv-geschaeftsstelle@darv.de; Vorsitzender: Dr. Stefan Feuser; Geschäftsstelle: Tasdorfer Str. 6, 15566 Schöneiche bei Berlin"
"Geistes- und Sozialwissenschaften";"Geisteswissenschaften";"1.12 Geschichtswissenschaften";"1.12-03 Neuere und Neueste Geschichte";"";"Verband der Historiker und Historikerinnen Deutschlands e.V. (VHD)";"über 3.400 Mitglieder (Website)";"https://de.wikipedia.org/wiki/Verband_der_Historiker_und_Historikerinnen_Deutschlands";"https://www.historikerverband.de";"E-Mail: geschaeftsstelle@historikerverband.de; Tel: +49 69 798 32572; Vorsitzende: Prof. Dr. Antje Flüchter; c/o Goethe-Universität, Norbert-Wollheim-Platz 1, 60323 Frankfurt am Main"
"Geistes- und Sozialwissenschaften";"Geisteswissenschaften";"1.13 Kunst-, Musik-, Theater- und Medienwissenschaften";"1.13-01 Kunstgeschichte";"";"Deutscher Verband für Kunstgeschichte e.V. (vormals Verband Deutscher Kunsthistoriker)";"rund 5.800 Mitglieder, Stand Dez. 2025 (Wikipedia)";"https://de.wikipedia.org/wiki/Deutscher_Verband_für_Kunstgeschichte";"https://kunstgeschichte.org";"Adresse: Weberstr. 59a, 53113 Bonn; Tel: +49 228 18034-182; E-Mail: info@kunsthistoriker.org"
"Geistes- und Sozialwissenschaften";"Geisteswissenschaften";"1.14 Sprachwissenschaften";"1.14-01 Allgemeine und Vergleichende Sprachwissenschaft";"";"Deutsche Gesellschaft für Sprachwissenschaft e.V. (DGfS)";"mehr als 1.200 Mitglieder (Website)";"https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Sprachwissenschaft";"https://dgfs.de";"Sitz Düsseldorf; Vorsitzende: Prof. Dr. Sophie Repp (Uni Köln); Tel: +49 221 470-5235; E-Mail: vorsitz@dgfs.de"
"Geistes- und Sozialwissenschaften";"Geisteswissenschaften";"1.15 Literaturwissenschaft";"1.15-02 Germanistische Literatur- und Kulturwissenschaften (Neuere deutsche Literatur)";"";"Deutscher Germanistenverband e.V. (DGV)";"nicht auffindbar (Gesamtzahl); Verband gliedert sich in GfH und Fachverband Deutsch";"https://de.wikipedia.org/wiki/Deutscher_Germanistenverband";"https://deutscher-germanistenverband.de";"E-Mail: info@germanistenverband.de; Sprecher: Prof. Dr. Jan Standke; Geschäftsstelle c/o TU Braunschweig, Bienroder Weg 80, 38106 Braunschweig"
"Geistes- und Sozialwissenschaften";"Geisteswissenschaften";"1.16 Sozial- und Kulturanthropologie, Außereuropäische Kulturen";"1.16-01 Ethnologie und Europäische Ethnologie";"";"Deutsche Gesellschaft für Sozial- und Kulturanthropologie e.V. (DGSKA)";"ca. 740–780 Mitglieder (Wikipedia/Website)";"https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Sozial-_und_Kulturanthropologie";"https://www.dgska.de";"Archiv am Frobenius-Institut, Goethe-Universität Frankfurt am Main; Kontakt über Website-Formular; nicht auffindbar (Telefon)"
"Geistes- und Sozialwissenschaften";"Geisteswissenschaften";"1.17 Theologie";"1.17-01/1.17-02 Evangelische und Katholische Theologie (fachübergreifend)";"";"Wissenschaftliche Gesellschaft für Theologie e.V. (WGTh)";"mehr als 800 Mitglieder (Website)";"https://de.wikipedia.org/wiki/Wissenschaftliche_Gesellschaft_für_Theologie";"https://www.wgth.de";"Adresse: c/o Haus der Diakonie, Paulsenstrasse 55-56, 12163 Berlin; Tel: +49 30 82097-223; Fax: +49 30 82097-105"
"Geistes- und Sozialwissenschaften";"Geisteswissenschaften";"1.18 Philosophie";"1.18-01 Geschichte der Philosophie (u.a.)";"";"Deutsche Gesellschaft für Philosophie e.V. (DGPhil)";"mit über 2.000 Mitgliedern die größte philosophische Gesellschaft im deutschen Sprachraum (Website)";"https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Philosophie";"https://dgphil.de";"Präsidentin: Prof. Dr. Ruth Hagengruber; E-Mail: info@dgphil.de; c/o Universität Paderborn, Warburger Straße 100, 33098 Paderborn"
"Geistes- und Sozialwissenschaften";"Sozial- und Verhaltenswissenschaften";"1.21 Erziehungswissenschaft und Bildungsforschung";"1.21-01 Allgemeine und Historische Erziehungswissenschaft";"";"Deutsche Gesellschaft für Erziehungswissenschaft e.V. (DGfE)";"etwa 4.500 reguläre Mitglieder, Stand Januar 2025 (Wikipedia)";"https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Erziehungswissenschaft";"https://www.dgfe.de";"Tel: 030 3034 3444; E-Mail: buero@dgfe.de; Vorsitzender: Prof. Dr. Michael Schemmann"
"Geistes- und Sozialwissenschaften";"Sozial- und Verhaltenswissenschaften";"1.21 Erziehungswissenschaft und Bildungsforschung";"1.21-02 Allgemeines und fachbezogenes Lehren und Lernen (Mathematikdidaktik)";"";"Gesellschaft für Didaktik der Mathematik e.V. (GDM)";"über 1.200 Mitglieder (Website)";"https://de.wikipedia.org/wiki/Gesellschaft_für_Didaktik_der_Mathematik";"https://didaktik-der-mathematik.de";"Sitz Berlin; c/o WIAS, Anton-Wilhelm-Amo-Straße 39, 10117 Berlin; E-Mail: vorsitzender@didaktik-der-mathematik.de"
"Geistes- und Sozialwissenschaften";"Sozial- und Verhaltenswissenschaften";"1.22 Psychologie";"1.22-05 Persönlichkeitspsychologie, Klinische und Medizinische Psychologie, Methoden (u.a.)";"Föderation Deutscher Psychologenvereinigungen";"Deutsche Gesellschaft für Psychologie e.V. (DGPs)";"über 5.800 Mitglieder, Stand Juli 2025 (Wikipedia)";"https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Psychologie";"https://www.dgps.de";"Sitz Berlin; Tel: 030 28047718; E-Mail: klostermann@dgps.de"
"Geistes- und Sozialwissenschaften";"Sozial- und Verhaltenswissenschaften";"1.23 Sozialwissenschaften";"1.23-01 Soziologische Theorie";"";"Deutsche Gesellschaft für Soziologie e.V. (DGS)";"rund 3.500 Mitglieder (Website)";"https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Soziologie";"https://soziologie.de";"Tel: +49 (0)201-18-38 138; Präsidentin: Prof. Dr. Monika Wohlrab-Sahr; Geschäftsstelle c/o KWI, Goethestraße 31, 45128 Essen"
"Geistes- und Sozialwissenschaften";"Sozial- und Verhaltenswissenschaften";"1.23 Sozialwissenschaften";"1.23-04 Politikwissenschaft";"";"Deutsche Vereinigung für Politikwissenschaft e.V. (DVPW)";"mehr als 2.100 ordentliche Mitglieder (Website)";"https://de.wikipedia.org/wiki/Deutsche_Vereinigung_für_Politikwissenschaft";"https://www.dvpw.de";"Sitz Berlin; Vorsitzender: Prof. Dr. Michael Koß; Kontakt über Website-Formular"
"Geistes- und Sozialwissenschaften";"Sozial- und Verhaltenswissenschaften";"1.24 Wirtschaftswissenschaften";"1.24-02 Wirtschaftspolitik, Angewandte Volkswirtschaftslehre";"";"Verein für Socialpolitik – Gesellschaft für Wirtschafts- und Sozialwissenschaften e.V.";"rund 3.800 persönliche und 48 korporative Mitglieder (Wikipedia)";"https://de.wikipedia.org/wiki/Verein_für_Socialpolitik";"https://www.socialpolitik.de";"Vorsitzender: Prof. Michael Burda, Ph.D.; Sitz Berlin; Kontakt über Website-Formular"
"Geistes- und Sozialwissenschaften";"Rechtswissenschaften";"1.25 Rechtswissenschaften";"1.25-01 Grundlagen des Rechts und der Rechtswissenschaft";"";"Gesellschaft für Rechtsvergleichung e.V.";"nicht auffindbar (keine öffentliche Gesamtzahl)";"https://de.wikipedia.org/wiki/Gesellschaft_für_Rechtsvergleichung";"https://www.gfr.jura.uni-bayreuth.de";"Adresse: Belfortstraße 16, 79098 Freiburg im Breisgau; Tel: +49 (0)761/203-2126; E-Mail: gfr@jura.uni-freiburg.de"
"Lebenswissenschaften";"Biologie";"2.11 Grundlagen der Biologie und Medizin";"2.11-01 Biochemie";"AWMF (assoziiert)";"Gesellschaft für Biochemie und Molekularbiologie e.V. (GBM)";"über 4.500 Mitglieder, Stand 2022 (Wikipedia); ca. 5.000–5.300 lt. Website";"https://de.wikipedia.org/wiki/Gesellschaft_für_Biochemie_und_Molekularbiologie";"https://gbm-online.de";"Mitglied der AWMF und FEBS; Kontakt über Website-Formular"
"Lebenswissenschaften";"Biologie";"2.12 Pflanzenwissenschaften";"2.12-01 Evolution und Systematik der Pflanzen und Pilze (u.a.)";"VBIO";"Deutsche Botanische Gesellschaft e.V. (DBG)";"mehr als 900 Mitglieder (Wikipedia)";"https://de.wikipedia.org/wiki/Deutsche_Botanische_Gesellschaft";"https://www.deutsche-botanische-gesellschaft.de";"Sitz Berlin; E-Mail: Redaktion@deutsche-botanische-gesellschaft.de"
"Lebenswissenschaften";"Biologie";"2.13 Zoologie";"2.13-01 Systematik und Morphologie der Tiere";"";"Deutsche Zoologische Gesellschaft e.V. (DZG)";"etwa 1.500 Mitglieder (Wikipedia) / rund 1.600 (Website)";"https://de.wikipedia.org/wiki/Deutsche_Zoologische_Gesellschaft";"https://www.dzg-ev.de";"E-Mail: dzg@bio.lmu.de; Tel: 089 54806960; Geschäftsstelle Corneliusstr. 12, 80469 München"
"Lebenswissenschaften";"Mikrobiologie, Virologie und Immunologie";"2.21 Mikrobiologie, Virologie und Immunologie";"2.21-02 Mikrobielle Ökologie und Angewandte Mikrobiologie";"VBIO";"Vereinigung für Allgemeine und Angewandte Mikrobiologie e.V. (VAAM)";"etwa 3.500 Mitglieder (Wikipedia)";"https://de.wikipedia.org/wiki/Vereinigung_für_Allgemeine_und_Angewandte_Mikrobiologie";"https://vaam.de";"E-Mail: mail@vaam.de; Mitgliederverwaltung: Sophie Moktadir"
"Lebenswissenschaften";"Medizin";"2.22 Medizin";"2.22-01 Epidemiologie und Medizinische Biometrie (fachübergreifend, Innere Medizin)";"AWMF";"Deutsche Gesellschaft für Innere Medizin e.V. (DGIM)";"über 30.000 Mitglieder (Website); über 29.000 (Wikipedia)";"https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Innere_Medizin";"https://www.dgim.de";"Kontaktformular auf dgim.de; gegründet 1882 in Wiesbaden; Mitglied der AWMF"
"Lebenswissenschaften";"Medizin";"2.22 Medizin";"2.22-12 Kardiologie, Angiologie";"AWMF";"Deutsche Gesellschaft für Kardiologie – Herz- und Kreislaufforschung e.V. (DGK)";"mehr als 12.000 Mitglieder (Wikipedia)";"https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Kardiologie_–_Herz-_und_Kreislaufforschung";"https://dgk.org";"Adresse: Grafenberger Allee 100, 40237 Düsseldorf; Tel: +49 211 600692-0; E-Mail: info@dgk.org; X: @dgk_org"
"Lebenswissenschaften";"Medizin";"2.22 Medizin";"2.22-25 Allgemein- und Viszeralchirurgie (fachübergreifend, Chirurgie)";"AWMF";"Deutsche Gesellschaft für Chirurgie e.V. (DGCH)";"über 6.000 Mitglieder, rund 16.000–17.500 mit assoziierten Fachgesellschaften (Wikipedia)";"https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Chirurgie";"https://www.dgch.de";"Adresse: Luisenstr. 58/59, 10117 Berlin (Langenbeck-Virchow-Haus); Tel: +49 30 288-76290; E-Mail: info@dgch.de"
"Lebenswissenschaften";"Medizin";"2.22 Medizin";"2.22-21 Gynäkologie und Geburtshilfe";"AWMF";"Deutsche Gesellschaft für Gynäkologie und Geburtshilfe e.V. (DGGG)";"6.004 Mitglieder (Wikipedia)";"https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Gynäkologie_und_Geburtshilfe";"https://www.dggg.de";"Adresse: Jägerstraße 58–60, 10117 Berlin; Tel: (030) 514883340; Kontaktformular auf dggg.de"
"Lebenswissenschaften";"Medizin";"2.22 Medizin";"2.22-30 Radiologie";"AWMF";"Deutsche Röntgengesellschaft, Gesellschaft für Medizinische Radiologie e.V. (DRG)";"mehr als 12.000 Mitglieder (Website)";"https://de.wikipedia.org/wiki/Deutsche_Röntgengesellschaft";"https://drg.de";"Adresse: Ernst-Reuter-Platz 10, 10587 Berlin; Tel: +49 30 916 070-0; E-Mail: office@drg.de"
"Lebenswissenschaften";"Neurowissenschaften";"2.23 Neurowissenschaften";"2.23-04 Kognitive, systemische und Verhaltensneurobiologie";"";"Neurowissenschaftliche Gesellschaft e.V. (NWG)";"etwas über 2.300 Mitglieder (Website)";"https://de.wikipedia.org/wiki/Neurowissenschaftliche_Gesellschaft";"https://nwg-info.de";"Adresse: Robert-Rössle-Str. 10, Berlin; Gründungsmitglied FENS; Kooperation mit Leopoldina"
"Lebenswissenschaften";"Neurowissenschaften";"2.23 Neurowissenschaften";"2.23-10 Klinische Psychiatrie, Psychotherapie und Kinder- und Jugendpsychiatrie";"AWMF";"Deutsche Gesellschaft für Psychiatrie und Psychotherapie, Psychosomatik und Nervenheilkunde e.V. (DGPPN)";"rund 12.000 Mitglieder (Wikipedia); über 13.000 lt. AWMF";"https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Psychiatrie_und_Psychotherapie,_Psychosomatik_und_Nervenheilkunde";"https://www.dgppn.de";"Adresse: Reinhardtstrasse 29, 10117 Berlin-Mitte; Tel: 030-2404 7720; E-Mail: pressestelle@dgppn.de"
"Lebenswissenschaften";"Neurowissenschaften";"2.23 Neurowissenschaften";"2.23-11 Augenheilkunde";"AWMF";"Deutsche Ophthalmologische Gesellschaft e.V. (DOG)";"über 8.000 Mitglieder (Wikipedia); über 8.400–8.500 lt. Website";"https://de.wikipedia.org/wiki/Deutsche_Ophthalmologische_Gesellschaft";"https://dog.org";"Adresse: Platenstraße 1, 80336 München; Tel: +49 89 5505 76814; E-Mail: mitgliederverwaltung@dog.org"
"Lebenswissenschaften";"Agrar-, Forstwissenschaften und Tiermedizin";"2.31 Agrar-, Forstwissenschaften und Tiermedizin";"2.31-02 Pflanzenzüchtung, Pflanzenpathologie";"DAF";"Gesellschaft für Pflanzenzüchtung e.V. (GPZ)";"mehr als 800 ordentliche Mitglieder, Stand 2019 (Wikipedia)";"https://de.wikipedia.org/wiki/Gesellschaft_für_Pflanzenzüchtung";"https://gpz-online.de";"Adresse: Erwin-Baur-Str. 27, 06484 Quedlinburg; Tel: 03946-47899; E-Mail: geschaeftsstelle@gpz-online.de"
"Lebenswissenschaften";"Agrar-, Forstwissenschaften und Tiermedizin";"2.31 Agrar-, Forstwissenschaften und Tiermedizin";"2.31-08 Tiermedizin";"";"Deutsche Veterinärmedizinische Gesellschaft e.V. (DVG)";"über 6.000 Mitglieder (Website)";"https://de.wikipedia.org/wiki/Deutsche_Veterinärmedizinische_Gesellschaft";"https://www.dvg.de";"Adresse: An der Alten Post 2, 35390 Gießen; Tel: 0641/9844460; E-Mail: info@dvg.de"
"Naturwissenschaften";"Chemie";"3.11-3.17 Chemie (fachübergreifend)";"3.11-01 Anorganische Molekülchemie – Synthese, Charakterisierung (u.a.)";"Wissenschaft verbindet";"Gesellschaft Deutscher Chemiker e.V. (GDCh)";"rund 28.000 Mitglieder (Website)";"https://de.wikipedia.org/wiki/Gesellschaft_Deutscher_Chemiker";"https://www.gdch.de";"Adresse: Varrentrappstr. 40–42, 60486 Frankfurt/Main; Tel: +49 69 7917-0; E-Mail: gdch@gdch.de"
"Naturwissenschaften";"Chemie";"3.13 Physikalische Chemie";"3.13-01 Physikalische Chemie von Molekülen, Flüssigkeiten und Grenzflächen";"";"Deutsche Bunsen-Gesellschaft für Physikalische Chemie e.V.";"ca. 1.300 Mitglieder, Stand 2023 (Wikipedia)";"https://de.wikipedia.org/wiki/Deutsche_Bunsen-Gesellschaft_für_Physikalische_Chemie";"https://bunsen.de";"Adresse: Varrentrappstr. 40-42, 60486 Frankfurt am Main; Tel: +49 69 7917-363"
"Naturwissenschaften";"Physik";"3.21-3.25 Physik (fachübergreifend)";"3.24-01 Kern- und Elementarteilchenphysik, Quantenmechanik, Relativitätstheorie, Felder (u.a.)";"Wissenschaft verbindet";"Deutsche Physikalische Gesellschaft e.V. (DPG)";"mehr als 52.220 Mitglieder, Stand 2022 (Wikipedia)";"https://de.wikipedia.org/wiki/Deutsche_Physikalische_Gesellschaft";"https://www.dpg-physik.de";"Sitz Bad Honnef; Präsidentin (seit 1.4.2026): Heike Riel; Mitglied der European Physical Society"
"Naturwissenschaften";"Physik";"3.25 Astrophysik und Astronomie";"3.25-01 Astrophysik und Astronomie";"";"Astronomische Gesellschaft (AG)";"zurzeit etwa 800 Mitglieder (Website)";"https://de.wikipedia.org/wiki/Astronomische_Gesellschaft";"https://www.astronomische-gesellschaft.de";"E-Mail: rendant@astronomische-gesellschaft.de; Tel: +49 40 4288652 50"
"Naturwissenschaften";"Mathematik";"3.31 Mathematik";"3.31-01 Mathematik";"Wissenschaft verbindet";"Deutsche Mathematiker-Vereinigung e.V. (DMV)";"rund 4.000 Mitglieder (Wikipedia)";"https://de.wikipedia.org/wiki/Deutsche_Mathematiker-Vereinigung";"https://www.mathematik.de";"Adresse: Anton-Wilhelm-Amo-Str. 39, 10117 Berlin (c/o WIAS Berlin); Tel: +49 30 20372 306; E-Mail: dmv@wias-berlin.de"
"Naturwissenschaften";"Geowissenschaften";"3.41 Atmosphären-, Meeres- und Klimaforschung";"3.41-01 Physik und Chemie der Atmosphäre";"DVGeo (assoziiert)";"Deutsche Meteorologische Gesellschaft e.V. (DMG)";"rund 1.700 Mitglieder, Stand 1998; ältere Angabe, aktuelle Gesamtzahl nicht auffindbar";"https://de.wikipedia.org/wiki/Deutsche_Meteorologische_Gesellschaft";"https://www.dmg-ev.de";"Adresse: c/o FU Berlin, Carl-Heinrich-Becker-Weg 6-10, 12165 Berlin; Tel: 030/616 450 50; E-Mail: sekretariat@dmg-ev.de"
"Naturwissenschaften";"Geowissenschaften";"3.42 Geologie und Paläontologie";"3.42-01 Geologie";"DVGeo";"Deutsche Gesellschaft für Geowissenschaften e.V. (DGGV)";"mehr als 5.500 Mitglieder (Website DVGeo)";"https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Geowissenschaften";"https://www.dggv.de";"Kontakt über DVGeo-Geschäftsstelle: E-Mail info@dvgeo.org; Tel: 030 201 79 683"
"Naturwissenschaften";"Geowissenschaften";"3.43 Geophysik und Geodäsie";"3.43-01 Physik des Erdkörpers";"DVGeo";"Deutsche Geophysikalische Gesellschaft e.V. (DGG)";"etwa 1.150 Mitglieder (Wikipedia)";"https://de.wikipedia.org/wiki/Deutsche_Geophysikalische_Gesellschaft";"https://dgg-online.de";"E-Mail: geschaeftsfuehrung@dgg-online.de; Gründungsmitglied der GeoUnion – Alfred-Wegener-Stiftung"
"Naturwissenschaften";"Geowissenschaften";"3.44 Mineralogie, Petrologie und Geochemie";"3.44-01 Mineralogie, Petrologie und Geochemie";"DVGeo";"Deutsche Mineralogische Gesellschaft e.V. (DMG)";"etwa 1.500 Mitglieder, Stand 2023 (Wikipedia)";"https://de.wikipedia.org/wiki/Deutsche_Mineralogische_Gesellschaft";"https://www.dmg-home.org";"E-Mail: membership@dmg-home.org; Vorsitz (2023-2024): Prof. Dr. Horst Marschall"
"Naturwissenschaften";"Geowissenschaften";"3.46 Wasserforschung";"3.46-01 Hydrogeologie, Hydrologie, Limnologie, Siedlungswasserwirtschaft";"";"Deutsche Gesellschaft für Limnologie e.V. (DGL)";"etwa 950 Mitglieder (Wikipedia/Website)";"https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Limnologie";"https://dgl-ev.de";"E-Mail: geschaeftsstelle@dgl-ev.de; Mitglied im Deutschen Nationalkomitee (DNK)"
"Ingenieurwissenschaften";"Maschinenbau und Produktionstechnik";"4.11 Produktionstechnik";"4.11-01 Spanende und abtragende Fertigungstechnik (u.a.)";"";"Wissenschaftliche Gesellschaft für Produktionstechnik e.V. (WGP)";"72 Professor*innen-Mitglieder, stehen für über 2.000 Wissenschaftler*innen (Website/LinkedIn)";"https://de.wikipedia.org/wiki/Wissenschaftliche_Gesellschaft_für_Produktionstechnik";"https://www.wgp.de";"Presse: c/o VDW, Corneliusstraße 4, 60325 Frankfurt am Main; Tel: 069 75608132; E-Mail: kneifel@wgp.de"
