"Wissenschaftsbereich";"Fachgebiet";"Dachverband";"Dachverband Mitgliederanzahl Fachgesellschaften";"Dachverband Mitgliederanzahl Wissenschaftler/Individuen";"Wikipedialink";"Website";"Kontakt";"Data Collection Type";"LLM";"Tool Use";"Prompt";"Data Collection Date"
"Lebenswissenschaften";"Medizin";"Arbeitsgemeinschaft der Wissenschaftlichen Medizinischen Fachgesellschaften e.V. (AWMF)";"185 Fachgesellschaften (Website/Presseseite, 2026; Übersichtsseite nennt ""mehr als 180"")";"über 300.000 Expert*innen (Website, 2025/2026)";"https://de.wikipedia.org/wiki/Arbeitsgemeinschaft_der_Wissenschaftlichen_Medizinischen_Fachgesellschaften";"https://www.awmf.org";"E-Mail: office@awmf.org; Tel: +49 30 20097777; Präsident: Prof. Dr. Rolf-Detlef Treede; Geschäftsführer: Dennis Makoschey; LinkedIn (de.linkedin.com/company/awmf), Bluesky (awmf.bsky.social); Geschäftsstelle Birkenstr. 67, 10559 Berlin";"Automated";"Claude Sonnet 5";"Research Tool";"https://github.com/FabiLochner/rse-award-research/blob/main/scientific-societies/research/automated/claude/claude_research_2026-08-04.md";"2026-08-04"
"Lebenswissenschaften";"Biologie";"Verband Biologie, Biowissenschaften und Biomedizin in Deutschland e.V. (VBIO)";"ca. 25 Fachgesellschaften (Wikipedia) / 26 institutionelle Mitglieder (Website)";"25.000 Mitglieder gesamt, davon ca. 6.000 Einzelmitglieder (Wikipedia) / 4.500 individuelle + über 25.000 in Fachgesellschaften (Website)";"https://de.wikipedia.org/wiki/Verband_Biologie,_Biowissenschaften_und_Biomedizin_in_Deutschland";"https://www.vbio.de";"E-Mail: info@vbio.de; Tel München: 089 260 245 73, Berlin: 030 278 91916; Präsident: Prof. Dr. Markus Engstler; Instagram, Facebook, LinkedIn (linkedin.com/company/vbio-verband), Bluesky; Geschäftsstelle Corneliusstr. 12, 80469 München";"Automated";"Claude Sonnet 5";"Research Tool";"https://github.com/FabiLochner/rse-award-research/blob/main/scientific-societies/research/automated/claude/claude_research_2026-08-04.md";"2026-08-04"
"Lebenswissenschaften";"Agrar-, Forstwissenschaften und Tiermedizin";"Dachverband wissenschaftlicher Gesellschaften der Agrar-, Forst-, Ernährungs-, Veterinär- und Umweltforschung e.V. (DAF)";"nicht auffindbar";"nicht auffindbar";"nicht auffindbar";"https://www.agrarforschung.de";"E-Mail: A.Schaffner@DLG.org; Tel: +49 69 24788-321; Präsident: Prof. Dr. Karl-Hermann Mühling; Geschäftsführung: Dr. Achim Schaffner (DLG); Eschborner Landstr. 122, 60489 Frankfurt am Main";"Automated";"Claude Sonnet 5";"Research Tool";"https://github.com/FabiLochner/rse-award-research/blob/main/scientific-societies/research/automated/claude/claude_research_2026-08-04.md";"2026-08-04"
"Naturwissenschaften";"Geowissenschaften";"Dachverband der Geowissenschaften e.V. (DVGeo)";"4 Vollmitglieder (DGGV, DGG, DMG, PalGes) + assoziierte Mitglieder (Wikipedia)";"nicht auffindbar (Gesamtsumme); Mitgliedsgesellschaften z.B. DGGV >5.500, DMG ~1.600, DGG ~900 (Website)";"https://de.wikipedia.org/wiki/Dachverband_der_Geowissenschaften";"https://www.dvgeo.org";"E-Mail: fahry-seelig@dvgeo.org / info@dvgeo.org; Tel: 030 201 79 683; Präsident: Prof. Dr. Frank Schilling; Ansprechpartnerin: Tamara Fahry-Seelig; Luisenstr. 58/59, 10117 Berlin";"Automated";"Claude Sonnet 5";"Research Tool";"https://github.com/FabiLochner/rse-award-research/blob/main/scientific-societies/research/automated/claude/claude_research_2026-08-04.md";"2026-08-04"
"Naturwissenschaften";"Chemie/Physik/Mathematik/Geowissenschaften (übergreifende Allianz)";"Wissenschaft verbindet (Allianz DVGeo, DMV, DPG, GDCh, VBIO)";"5 Fachgesellschaften (Website)";"über 130.000 Mitglieder zusammen (Website)";"nicht auffindbar";"https://wissenschaft-verbindet.de";"Kontakt über die fünf Mitgliedsgesellschaften; keine eigene Geschäftsstelle; keine eigenen Social-Media-Kanäle";"Automated";"Claude Sonnet 5";"Research Tool";"https://github.com/FabiLochner/rse-award-research/blob/main/scientific-societies/research/automated/claude/claude_research_2026-08-04.md";"2026-08-04"
"Ingenieurwissenschaften";"Informatik, System- und Elektrotechnik (u.a., technisch-wissenschaftlich übergreifend)";"Deutscher Verband Technisch-Wissenschaftlicher Vereine e.V. (DVT)";"36 Fachgesellschaften (Wikipedia)";"mehr als 210.000 persönliche und über 17.000 institutionelle Mitglieder (Website/Wikipedia)";"https://de.wikipedia.org/wiki/Deutscher_Verband_Technisch-Wissenschaftlicher_Vereine";"https://www.dvt-net.de";"E-Mail: info@dvt-net.de; Vorsitzender: Dr.-Ing. Hans Heinz Zimmer; Geschäftsführerin: Alina Cohnen; Sitz Steinplatz 1, 10623 Berlin (c/o VDI, Düsseldorf)";"Automated";"Claude Sonnet 5";"Research Tool";"https://github.com/FabiLochner/rse-award-research/blob/main/scientific-societies/research/automated/claude/claude_research_2026-08-04.md";"2026-08-04"
"Ingenieurwissenschaften";"Maschinenbau und Produktionstechnik (u.a., übergreifend)";"Verein Deutscher Ingenieure e.V. (VDI)";"mehrere Fachgesellschaften";"rund 125.000 Mitglieder (Website); ca. 135.000 (englische Wikipedia)";"https://de.wikipedia.org/wiki/Verein_Deutscher_Ingenieure";"https://www.vdi.de";"Präsident: Lutz Eckstein; LinkedIn (69.820 Follower); VDI-Platz 1, 40468 Düsseldorf";"Automated";"Claude Sonnet 5";"Research Tool";"https://github.com/FabiLochner/rse-award-research/blob/main/scientific-societies/research/automated/claude/claude_research_2026-08-04.md";"2026-08-04"
"Ingenieurwissenschaften";"Informatik, System- und Elektrotechnik";"VDE Verband der Elektrotechnik Elektronik Informationstechnik e.V.";"5 Fachgesellschaften (ITG, ETG, DGBMT, GMM, GMA)";"ca. 35.000 Mitglieder (Wikipedia/de-academic)";"https://de.wikipedia.org/wiki/VDE_Verband_der_Elektrotechnik_Elektronik_Informationstechnik";"https://www.vde.com";"Vorsitz: Dr.-Ing. Joachim Schneider; Merianstr. 28, 63069 Offenbach am Main";"Automated";"Claude Sonnet 5";"Research Tool";"https://github.com/FabiLochner/rse-award-research/blob/main/scientific-societies/research/automated/claude/claude_research_2026-08-04.md";"2026-08-04"
"Ingenieurwissenschaften";"Bauwesen/Maschinenbau/Elektrotechnik/Informatik (hochschulpolitisch)";"Fakultätentage der Ingenieurwissenschaften und der Informatik an Universitäten e.V. (4ING)";"4 Fakultätentage (Website)";"144 Fakultäten an 60 Universitäten; >3.500 Professor*innen, 30.000 wiss. Mitarbeiter*innen, >280.000 Studierende (Website)";"nicht auffindbar";"https://4ing.net";"E-Mail: h.schmitt@4ing.net / vorsitzender@4ing.net; Tel: +49 6151 950 51 35; Vorsitzender: Prof. Dr.-Ing. Sven Klinkel; Geschäftsführerin: Heike Schmitt; Sitz TU Berlin, Str. des 17. Juni 144, 10623 Berlin";"Automated";"Claude Sonnet 5";"Research Tool";"https://github.com/FabiLochner/rse-award-research/blob/main/scientific-societies/research/automated/claude/claude_research_2026-08-04.md";"2026-08-04"
"Geistes- und Sozialwissenschaften";"Geisteswissenschaften (Fachdidaktik, übergreifend)";"Gesellschaft für Fachdidaktik e.V. (GFD)";"34 Mitgliedsverbände (Website)";"nicht auffindbar";"nicht auffindbar (kein eigener Artikel)";"https://www.fachdidaktik.org";"E-Mail: korneck@em.uni-frankfurt.de; Tel: 069/798-46454; Verantwortliche: Prof. Dr. Friederike Korneck (Goethe-Universität Frankfurt); Max-von-Laue-Str. 1, 60438 Frankfurt/M.";"Automated";"Claude Sonnet 5";"Research Tool";"https://github.com/FabiLochner/rse-award-research/blob/main/scientific-societies/research/automated/claude/claude_research_2026-08-04.md";"2026-08-04"
"Geistes- und Sozialwissenschaften";"Geisteswissenschaften (Archäologie)";"Deutscher Verband für Archäologie e.V. (DVA)";"mehrere Mitgliedsverbände (NWDV, MOVA, WSVA u.a.)";"über 3.000 Mitglieder (Wikipedia, bei Gründung 2011)";"https://de.wikipedia.org/wiki/Deutscher_Verband_für_Archäologie";"https://www.dvarch.de";"E-Mail: kontakt@dvarch.de; Tel: +49 30 266 42 53 19; Präsident: Prof. Dr. Matthias Wemhoff; Geschwister-Scholl-Str. 6, 10117 Berlin";"Automated";"Claude Sonnet 5";"Research Tool";"https://github.com/FabiLochner/rse-award-research/blob/main/scientific-societies/research/automated/claude/claude_research_2026-08-04.md";"2026-08-04"
"Geistes- und Sozialwissenschaften";"Sozial- und Verhaltenswissenschaften (Psychologie)";"Föderation Deutscher Psychologenvereinigungen";"2 Gliedverbände (BDP, DGPs)";"rund 15.000 Psycholog*innen (Website psychologie.de)";"https://de.wikipedia.org/wiki/Föderation_Deutscher_Psychologenvereinigungen";"https://psychologie.de";"E-Mail: federation@psychologie.de; gemeinsamer Vorstand aus BDP + DGPs; Tel über BDP 030 209 166 600 / DGPs +49 30 28445960; Sitz Berlin";"Automated";"Claude Sonnet 5";"Research Tool";"https://github.com/FabiLochner/rse-award-research/blob/main/scientific-societies/research/automated/claude/claude_research_2026-08-04.md";"2026-08-04"
"Geistes- und Sozialwissenschaften";"Sozial- und Verhaltenswissenschaften (Statistik)";"Deutsche Arbeitsgemeinschaft Statistik e.V. (DAGStat)";"13–15 Mitgliedsgesellschaften + Statistisches Bundesamt (Website)";"nicht auffindbar";"https://de.wikipedia.org/wiki/Deutsche_Arbeitsgemeinschaft_Statistik";"https://www.dagstat.de";"E-Mail: kontakt@dagstat.de; Vorsitzende: Prof. Dr. Katja Ickstadt (lt. Impressum); Geschäftsstelle Universität Bielefeld";"Automated";"Claude Sonnet 5";"Research Tool";"https://github.com/FabiLochner/rse-award-research/blob/main/scientific-societies/research/automated/claude/claude_research_2026-08-04.md";"2026-08-04"
"Geistes- und Sozialwissenschaften";"Geisteswissenschaften (Geschichte) – Einzel-Fachverband, kein Dachverband";"Verband der Historiker und Historikerinnen Deutschlands e.V. (VHD)";"kein Dachverband (Einzel-Fachverband)";"über 3.400 Mitglieder (Website)";"https://de.wikipedia.org/wiki/Verband_der_Historiker_und_Historikerinnen_Deutschlands";"https://www.historikerverband.de";"E-Mail: geschaeftsstelle@historikerverband.de; Tel: +49 69 798 32572; Vorsitzende: Prof. Dr. Antje Flüchter; Geschäftsführerin: Marie von Lüneburg; LinkedIn, Mastodon (fedihum.org/@VHD), Bluesky; c/o Goethe-Universität, Norbert-Wollheim-Platz 1, 60323 Frankfurt am Main";"Automated";"Claude Sonnet 5";"Research Tool";"https://github.com/FabiLochner/rse-award-research/blob/main/scientific-societies/research/automated/claude/claude_research_2026-08-04.md";"2026-08-04"
